Episode 1 | Score: -10 | Highest Score: 0 | Epsilon: 0.997
Episode 2 | Score: -10 | Highest Score: 0 | Epsilon: 0.994
Episode 3 | Score: -10 | Highest Score: 0 | Epsilon: 0.991
Episode 4 | Score: -10 | Highest Score: 0 | Epsilon: 0.9881
Episode 5 | Score: -10 | Highest Score: 0 | Epsilon: 0.9851
Episode 6 | Score: -10 | Highest Score: 0 | Epsilon: 0.9821
Episode 7 | Score: -10 | Highest Score: 0 | Epsilon: 0.9792
Episode 8 | Score: -10 | Highest Score: 0 | Epsilon: 0.9763
Episode 9 | Score: -10 | Highest Score: 0 | Epsilon: 0.9733
Episode 10 | Score: -10 | Highest Score: 0 | Epsilon: 0.9704
Episode 11 | Score: -10 | Highest Score: 0 | Epsilon: 0.9675
Episode 12 | Score: -10 | Highest Score: 0 | Epsilon: 0.9646
Episode 13 | Score: 10 | Highest Score: 10 | Epsilon: 0.9617
Episode 14 | Score: -10 | Highest Score: 10 | Epsilon: 0.9588
Episode 15 | Score: -10 | Highest Score: 10 | Epsilon: 0.9559
Episode 16 | Score: -10 | Highest Score: 10 | Epsilon: 0.9531
Episode 17 | Score: -10 | Highest Score: 10 | Epsilon: 0.9502
Episode 18 | Score: -10 | Highest Score: 10 | Epsilon: 0.9474
Episode 19 | Score: 0 | Highest Score: 10 | Epsilon: 0.9445
Episode 20 | Score: -10 | Highest Score: 10 | Epsilon: 0.9417
Episode 21 | Score: -10 | Highest Score: 10 | Epsilon: 0.9389
Episode 22 | Score: -10 | Highest Score: 10 | Epsilon: 0.936
Episode 23 | Score: -10 | Highest Score: 10 | Epsilon: 0.9332
Episode 24 | Score: -10 | Highest Score: 10 | Epsilon: 0.9304
Episode 25 | Score: -10 | Highest Score: 10 | Epsilon: 0.9276
Episode 26 | Score: -10 | Highest Score: 10 | Epsilon: 0.9249
Episode 27 | Score: 0 | Highest Score: 10 | Epsilon: 0.9221
Episode 28 | Score: 0 | Highest Score: 10 | Epsilon: 0.9193
Episode 29 | Score: -10 | Highest Score: 10 | Epsilon: 0.9166
Episode 30 | Score: -10 | Highest Score: 10 | Epsilon: 0.9138
Episode 31 | Score: -10 | Highest Score: 10 | Epsilon: 0.9111
Episode 32 | Score: -10 | Highest Score: 10 | Epsilon: 0.9083
Episode 33 | Score: -10 | Highest Score: 10 | Epsilon: 0.9056
Episode 34 | Score: 0 | Highest Score: 10 | Epsilon: 0.9029
Episode 35 | Score: -10 | Highest Score: 10 | Epsilon: 0.9002
Episode 36 | Score: -10 | Highest Score: 10 | Epsilon: 0.8975
Episode 37 | Score: -10 | Highest Score: 10 | Epsilon: 0.8948
Episode 38 | Score: 0 | Highest Score: 10 | Epsilon: 0.8921
Episode 39 | Score: -10 | Highest Score: 10 | Epsilon: 0.8894
Episode 40 | Score: -10 | Highest Score: 10 | Epsilon: 0.8868
Episode 41 | Score: -10 | Highest Score: 10 | Epsilon: 0.8841
Episode 42 | Score: 0 | Highest Score: 10 | Epsilon: 0.8814
Episode 43 | Score: -10 | Highest Score: 10 | Epsilon: 0.8788
Episode 44 | Score: -10 | Highest Score: 10 | Epsilon: 0.8762
Episode 45 | Score: -10 | Highest Score: 10 | Epsilon: 0.8735
Episode 46 | Score: -10 | Highest Score: 10 | Epsilon: 0.8709
Episode 47 | Score: -10 | Highest Score: 10 | Epsilon: 0.8683
Episode 48 | Score: -10 | Highest Score: 10 | Epsilon: 0.8657
Episode 49 | Score: -10 | Highest Score: 10 | Epsilon: 0.8631
Episode 50 | Score: -10 | Highest Score: 10 | Epsilon: 0.8605
Episode 51 | Score: -10 | Highest Score: 10 | Epsilon: 0.8579
Episode 52 | Score: 10 | Highest Score: 10 | Epsilon: 0.8554
Episode 53 | Score: -10 | Highest Score: 10 | Epsilon: 0.8528
Episode 54 | Score: -10 | Highest Score: 10 | Epsilon: 0.8502
Episode 55 | Score: -10 | Highest Score: 10 | Epsilon: 0.8477
Episode 56 | Score: 0 | Highest Score: 10 | Epsilon: 0.8451
Episode 57 | Score: 10 | Highest Score: 10 | Epsilon: 0.8426
Episode 58 | Score: -10 | Highest Score: 10 | Epsilon: 0.8401
Episode 59 | Score: -10 | Highest Score: 10 | Epsilon: 0.8376
Episode 60 | Score: -10 | Highest Score: 10 | Epsilon: 0.835
Episode 61 | Score: 0 | Highest Score: 10 | Epsilon: 0.8325
Episode 62 | Score: 0 | Highest Score: 10 | Epsilon: 0.83
Episode 63 | Score: 0 | Highest Score: 10 | Epsilon: 0.8276
Episode 64 | Score: -10 | Highest Score: 10 | Epsilon: 0.8251
Episode 65 | Score: -10 | Highest Score: 10 | Epsilon: 0.8226
Episode 66 | Score: -10 | Highest Score: 10 | Epsilon: 0.8201
Episode 67 | Score: 10 | Highest Score: 10 | Epsilon: 0.8177
Episode 68 | Score: -10 | Highest Score: 10 | Epsilon: 0.8152
Episode 69 | Score: -10 | Highest Score: 10 | Epsilon: 0.8128
Episode 70 | Score: -10 | Highest Score: 10 | Epsilon: 0.8103
Episode 71 | Score: 0 | Highest Score: 10 | Epsilon: 0.8079
Episode 72 | Score: -10 | Highest Score: 10 | Epsilon: 0.8055
Episode 73 | Score: -10 | Highest Score: 10 | Epsilon: 0.8031
Episode 74 | Score: -10 | Highest Score: 10 | Epsilon: 0.8006
Episode 75 | Score: 0 | Highest Score: 10 | Epsilon: 0.7982
Episode 76 | Score: -10 | Highest Score: 10 | Epsilon: 0.7959
Episode 77 | Score: -10 | Highest Score: 10 | Epsilon: 0.7935
Episode 78 | Score: 0 | Highest Score: 10 | Epsilon: 0.7911
Episode 79 | Score: -10 | Highest Score: 10 | Epsilon: 0.7887
Episode 80 | Score: -10 | Highest Score: 10 | Epsilon: 0.7863
Episode 81 | Score: -10 | Highest Score: 10 | Epsilon: 0.784
Episode 82 | Score: -10 | Highest Score: 10 | Epsilon: 0.7816
Episode 83 | Score: -10 | Highest Score: 10 | Epsilon: 0.7793
Episode 84 | Score: 0 | Highest Score: 10 | Epsilon: 0.777
